DATE,InflRate
1487-01-01,4.33
1488-01-01,-2.61
1489-01-01,2.02
1490-01-01,-1.28
1491-01-01,6.08
1492-01-01,-2.96
1493-01-01,-7.58
1494-01-01,-0.09
1495-01-01,-2.51
1496-01-01,-8.30
1497-01-01,21.13
1498-01-01,-6.53
1499-01-01,2.12
1500-01-01,-5.86
1501-01-01,18.03
1502-01-01,3.89
1503-01-01,-6.85
1504-01-01,2.04
1505-01-01,-7.58
1506-01-01,-3.12
1507-01-01,3.92
1508-01-01,-0.49
1509-01-01,-16.04
1510-01-01,3.85
1511-01-01,2.87
1512-01-01,13.60
1513-01-01,18.00
1514-01-01,-13.42
1515-01-01,0.06
1516-01-01,7.73
1517-01-01,-12.88
1518-01-01,11.66
1519-01-01,0.22
1520-01-01,13.35
1521-01-01,6.73
1522-01-01,-10.56
1523-01-01,-0.47
1524-01-01,-3.61
1525-01-01,-8.97
1526-01-01,-1.92
1527-01-01,12.88
1528-01-01,40.27
1529-01-01,-19.35
1530-01-01,0.08
1531-01-01,1.67
1532-01-01,1.71
1533-01-01,-1.70
1534-01-01,-11.82
1535-01-01,13.12
1536-01-01,3.91
1537-01-01,1.27
1538-01-01,-12.19
1539-01-01,-4.32
1540-01-01,4.92
1541-01-01,8.81
1542-01-01,-3.18
1543-01-01,8.15
1544-01-01,6.84
1545-01-01,13.60
1546-01-01,7.98
1547-01-01,-25.95
1548-01-01,-1.46
1549-01-01,25.06
1550-01-01,27.05
1551-01-01,10.50
1552-01-01,-11.29
1553-01-01,-9.65
1554-01-01,-1.53
1555-01-01,19.50
1556-01-01,21.66
1557-01-01,6.96
1558-01-01,-31.19
1559-01-01,7.42
1560-01-01,4.20
1561-01-01,9.63
1562-01-01,-0.21
1563-01-01,3.88
1564-01-01,3.82
1565-01-01,-14.82
1566-01-01,3.44
1567-01-01,-7.18
1568-01-01,0.57
1569-01-01,8.53
1570-01-01,-1.95
1571-01-01,-3.78
1572-01-01,10.19
1573-01-01,5.13
1574-01-01,16.63
1575-01-01,-13.02
1576-01-01,1.82
1577-01-01,8.49
1578-01-01,-7.37
1579-01-01,0.15
1580-01-01,-6.31
1581-01-01,15.04
1582-01-01,-0.74
1583-01-01,-4.86
1584-01-01,-0.25
1585-01-01,6.45
1586-01-01,18.64
1587-01-01,-0.10
1588-01-01,-16.61
1589-01-01,4.19
1590-01-01,12.76
1591-01-01,-1.22
1592-01-01,-10.31
1593-01-01,4.90
1594-01-01,15.31
1595-01-01,11.73
1596-01-01,5.97
1597-01-01,14.86
1598-01-01,-9.39
1599-01-01,-18.42
1600-01-01,3.64
1601-01-01,0.73
1602-01-01,-3.38
1603-01-01,-5.13
1604-01-01,1.87
1605-01-01,6.79
1606-01-01,0.88
1607-01-01,2.14
1608-01-01,16.05
1609-01-01,1.67
1610-01-01,-11.60
1611-01-01,2.99
1612-01-01,5.14
1613-01-01,5.61
1614-01-01,-1.44
1615-01-01,-2.94
1616-01-01,1.60
1617-01-01,1.97
1618-01-01,-0.14
1619-01-01,-7.61
1620-01-01,-6.17
1621-01-01,6.02
1622-01-01,13.91
1623-01-01,-2.67
1624-01-01,-3.73
1625-01-01,3.82
1626-01-01,-0.02
1627-01-01,-8.23
1628-01-01,-1.09
1629-01-01,4.28
1630-01-01,16.99
1631-01-01,7.90
1632-01-01,-8.38
1633-01-01,-1.83
1634-01-01,1.47
1635-01-01,0.52
1636-01-01,2.56
1637-01-01,1.16
1638-01-01,3.92
1639-01-01,-9.60
1640-01-01,-6.16
1641-01-01,9.00
1642-01-01,-5.19
1643-01-01,2.24
1644-01-01,-1.89
1645-01-01,1.82
1646-01-01,4.83
1647-01-01,17.37
1648-01-01,9.71
1649-01-01,-2.22
1650-01-01,-3.38
1651-01-01,-3.32
1652-01-01,-10.03
1653-01-01,-7.80
1654-01-01,-12.85
1655-01-01,-3.22
1656-01-01,15.63
1657-01-01,5.41
1658-01-01,8.80
1659-01-01,6.96
1660-01-01,-5.83
1661-01-01,7.34
1662-01-01,3.67
1663-01-01,-1.77
1664-01-01,-5.41
1665-01-01,0.00
1666-01-01,-3.81
1667-01-01,-4.95
1668-01-01,0.00
1669-01-01,-4.17
1670-01-01,1.09
1671-01-01,-1.08
1672-01-01,-3.26
1673-01-01,-1.12
1674-01-01,6.82
1675-01-01,7.45
1676-01-01,-4.95
1677-01-01,-7.29
1678-01-01,1.12
1679-01-01,5.56
1680-01-01,-2.11
1681-01-01,-3.23
1682-01-01,0.00
1683-01-01,-2.22
1684-01-01,1.14
1685-01-01,2.25
1686-01-01,1.10
1687-01-01,-11.96
1688-01-01,0.00
1689-01-01,-1.23
1690-01-01,2.50
1691-01-01,1.22
1692-01-01,-1.20
1693-01-01,4.88
1694-01-01,10.47
1695-01-01,0.00
1696-01-01,4.40
1697-01-01,0.83
1698-01-01,4.92
1699-01-01,3.12
1700-01-01,-12.88
1701-01-01,-13.04
1702-01-01,-1.00
1703-01-01,-5.05
1704-01-01,4.26
1705-01-01,-9.18
1706-01-01,13.48
1707-01-01,-12.87
1708-01-01,4.55
1709-01-01,16.30
1710-01-01,14.02
1711-01-01,10.66
1712-01-01,-25.19
1713-01-01,-3.96
1714-01-01,6.19
1715-01-01,0.97
1716-01-01,-4.81
1717-01-01,-4.04
1718-01-01,-2.11
1719-01-01,4.30
1720-01-01,5.15
1721-01-01,-1.96
1722-01-01,-8.00
1723-01-01,-3.26
1724-01-01,5.62
1725-01-01,3.19
1726-01-01,5.15
1727-01-01,-5.88
1728-01-01,3.13
1729-01-01,5.05
1730-01-01,-8.65
1731-01-01,-7.37
1732-01-01,1.14
1733-01-01,-4.49
1734-01-01,3.53
1735-01-01,1.14
1736-01-01,-2.25
1737-01-01,6.90
1738-01-01,-2.15
1739-01-01,-2.20
1740-01-01,12.36
1741-01-01,8.00
1742-01-01,-8.33
1743-01-01,-5.05
1744-01-01,-10.64
1745-01-01,1.19
1746-01-01,9.41
1747-01-01,-3.23
1748-01-01,4.44
1749-01-01,2.13
1750-01-01,-1.04
1751-01-01,2.63
1752-01-01,6.41
1753-01-01,-1.20
1754-01-01,-1.22
1755-01-01,-4.94
1756-01-01,7.79
1757-01-01,27.71
1758-01-01,-5.66
1759-01-01,-13.00
1760-01-01,-8.05
1761-01-01,-1.25
1762-01-01,3.80
1763-01-01,2.44
1764-01-01,9.52
1765-01-01,5.43
1766-01-01,0.00
1767-01-01,15.46
1768-01-01,-2.68
1769-01-01,-13.76
1770-01-01,4.26
1771-01-01,5.97
1772-01-01,4.81
1773-01-01,0.39
1774-01-01,-1.46
1775-01-01,-0.89
1776-01-01,-6.37
1777-01-01,4.36
1778-01-01,1.53
1779-01-01,-5.12
1780-01-01,1.06
1781-01-01,9.84
1782-01-01,0.67
1783-01-01,0.28
1784-01-01,-5.00
1785-01-01,-4.37
1786-01-01,-0.62
1787-01-01,1.78
1788-01-01,1.54
1789-01-01,-0.30
1790-01-01,6.50
1791-01-01,-1.14
1792-01-01,-2.31
1793-01-01,6.12
1794-01-01,3.07
1795-01-01,15.70
1796-01-01,2.42
1797-01-01,-9.98
1798-01-01,1.35
1799-01-01,20.95
1800-01-01,30.02
1801-01-01,-5.41
1802-01-01,-22.84
1803-01-01,-1.38
1804-01-01,6.93
1805-01-01,12.28
1806-01-01,-3.81
1807-01-01,-0.83
1808-01-01,5.34
1809-01-01,8.99
1810-01-01,1.18
1811-01-01,1.61
1812-01-01,11.02
1813-01-01,0.64
1814-01-01,-10.16
1815-01-01,-14.40
1816-01-01,9.52
1817-01-01,0.99
1818-01-01,-2.41
1819-01-01,-4.12
1820-01-01,-7.12
1821-01-01,-7.20
1822-01-01,-7.69
1823-01-01,3.39
1824-01-01,4.18
1825-01-01,5.37
1826-01-01,-4.35
1827-01-01,-4.55
1828-01-01,0.97
1829-01-01,2.14
1830-01-01,-3.17
1831-01-01,1.27
1832-01-01,-3.53
1833-01-01,-4.12
1834-01-01,-2.47
1835-01-01,-3.51
1836-01-01,9.72
1837-01-01,3.62
1838-01-01,4.09
1839-01-01,3.29
1840-01-01,-0.97
1841-01-01,-1.82
1842-01-01,-5.69
1843-01-01,-8.07
1844-01-01,3.28
1845-01-01,0.32
1846-01-01,11.88
1847-01-01,7.15
1848-01-01,-14.40
1849-01-01,-4.09
1850-01-01,-4.26
1851-01-01,-2.10
1852-01-01,1.37
1853-01-01,15.66
1854-01-01,7.91
1855-01-01,1.97
1856-01-01,0.53
1857-01-01,-2.32
1858-01-01,-10.16
1859-01-01,0.98
1860-01-01,7.84
1861-01-01,1.18
1862-01-01,-0.62
1863-01-01,-3.99
1864-01-01,-1.15
1865-01-01,1.74
1866-01-01,6.35
1867-01-01,5.30
1868-01-01,-2.99
1869-01-01,-6.57
1870-01-01,0.42
1871-01-01,2.80
1872-01-01,4.22
1873-01-01,0.78
1874-01-01,-4.54
1875-01-01,-1.49
1876-01-01,0.21
1877-01-01,-0.07
1878-01-01,-3.03
1879-01-01,-4.47
1880-01-01,2.01
1881-01-01,-1.24
1882-01-01,0.15
1883-01-01,0.00
1884-01-01,-3.44
1885-01-01,-3.47
1886-01-01,-0.90
1887-01-01,-2.01
1888-01-01,-0.21
1889-01-01,0.82
1890-01-01,0.41
1891-01-01,0.81
1892-01-01,0.40
1893-01-01,-1.91
1894-01-01,-2.66
1895-01-01,-1.37
1896-01-01,-0.21
1897-01-01,2.03
1898-01-01,1.78
1899-01-01,-1.03
1900-01-01,4.06
1901-01-01,-0.30
1902-01-01,0.00
1903-01-01,1.10
1904-01-01,-0.40
1905-01-01,0.40
1906-01-01,-0.10
1907-01-01,1.59
1908-01-01,1.27
1909-01-01,0.19
1910-01-01,2.12
1911-01-01,0.28
1912-01-01,2.82
1913-01-01,0.64
1914-01-01,2.55
1915-01-01,12.50
1916-01-01,18.10
1917-01-01,25.20
1918-01-01,22.00
1919-01-01,10.10
1920-01-01,15.40
1921-01-01,-8.60
1922-01-01,-14.00
1923-01-01,-6.00
1924-01-01,-0.70
1925-01-01,0.30
1926-01-01,-0.80
1927-01-01,-2.40
1928-01-01,-0.30
1929-01-01,-0.90
1930-01-01,-2.80
1931-01-01,-4.30
1932-01-01,-2.60
1933-01-01,-2.10
1934-01-01,0.00
1935-01-01,0.70
1936-01-01,0.70
1937-01-01,3.40
1938-01-01,1.60
1939-01-01,2.80
1940-01-01,16.80
1941-01-01,10.80
1942-01-01,7.10
1943-01-01,3.40
1944-01-01,2.70
1945-01-01,2.80
1946-01-01,3.10
1947-01-01,7.00
1948-01-01,7.70
1949-01-01,2.80
1950-01-01,3.92
1951-01-01,9.05
1952-01-01,10.65
1953-01-01,3.63
1954-01-01,2.29
1955-01-01,5.07
1956-01-01,5.16
1957-01-01,3.84
1958-01-01,2.88
1959-01-01,0.60
1960-01-01,0.79
1961-01-01,3.25
1962-01-01,4.20
1963-01-01,2.11
1964-01-01,3.23
1965-01-01,4.26
1966-01-01,4.00
1967-01-01,2.24
1968-01-01,4.00
1969-01-01,5.20
1970-01-01,6.52
1971-01-01,9.41
1972-01-01,7.19
1973-01-01,9.35
1974-01-01,15.73
1975-01-01,22.70
1976-01-01,15.66
1977-01-01,14.94
1978-01-01,7.47
1979-01-01,11.37
1980-01-01,15.15
1981-01-01,11.81
1982-01-01,8.11
1983-01-01,4.93
1984-01-01,4.26
1985-01-01,4.92
1986-01-01,3.33
1987-01-01,3.20
1988-01-01,3.76
1989-01-01,5.24
1990-01-01,6.97
1991-01-01,7.53
1992-01-01,4.26
1993-01-01,2.51
1994-01-01,1.98
1995-01-01,2.66
1996-01-01,2.40
1997-01-01,1.82
1998-01-01,1.56
1999-01-01,1.33
2000-01-01,0.80
2001-01-01,1.23
2002-01-01,1.26
2003-01-01,1.36
2004-01-01,1.34
2005-01-01,2.06
2006-01-01,2.33
2007-01-01,2.32
2008-01-01,3.60
2009-01-01,2.17
2010-01-01,3.30
2011-01-01,4.46
2012-01-01,2.83
2013-01-01,2.56
2014-01-01,1.46
2015-01-01,0.04
2016-01-01,0.66
2017-01-01,2.68
2018-01-01,2.46
2019-01-01,1.79
2020-01-01,0.85
2021-01-01,2.58
2022-01-01,9.06
